state,year,nationality,type,sex,agegrp,nPrisoners
A & N Islands,2013,Indians,Convicts,Male,16-18,0
A & N Islands,2013,Indians,Convicts,Male,18-30,11
A & N Islands,2013,Indians,Convicts,Male,30-50,35
A & N Islands,2013,Indians,Convicts,Male,50+,11
A & N Islands,2013,Indians,Under Trials,Female,16-18,0
A & N Islands,2013,Indians,Under Trials,Female,18-30,6
A & N Islands,2013,Indians,Under Trials,Female,30-50,0
A & N Islands,2013,Indians,Under Trials,Female,50+,0
A & N Islands,2013,Indians,Under Trials,Male,16-18,0
A & N Islands,2013,Indians,Under Trials,Male,18-30,41
A & N Islands,2013,Indians,Under Trials,Male,30-50,26
A & N Islands,2013,Indians,Under Trials,Male,50+,10
Andhra Pradesh,2001,Foreigners,Convicts,Female,16-18,0
Andhra Pradesh,2001,Foreigners,Convicts,Female,18-30,0
Andhra Pradesh,2001,Foreigners,Convicts,Female,30-50,0
Andhra Pradesh,2001,Foreigners,Convicts,Female,50+,0
Andhra Pradesh,2001,Foreigners,Convicts,Male,16-18,0
Andhra Pradesh,2001,Foreigners,Convicts,Male,18-30,1
Andhra Pradesh,2001,Foreigners,Convicts,Male,30-50,2
Andhra Pradesh,2001,Foreigners,Convicts,Male,50+,0
Andhra Pradesh,2001,Foreigners,Under Trials,Female,16-18,0
Andhra Pradesh,2001,Foreigners,Under Trials,Female,18-30,0
Andhra Pradesh,2001,Foreigners,Under Trials,Female,30-50,0
Andhra Pradesh,2001,Foreigners,Under Trials,Female,50+,0
Andhra Pradesh,2001,Foreigners,Under Trials,Male,16-18,0
Andhra Pradesh,2001,Foreigners,Under Trials,Male,18-30,6
Andhra Pradesh,2001,Foreigners,Under Trials,Male,30-50,6
Andhra Pradesh,2001,Foreigners,Under Trials,Male,50+,0
Andhra Pradesh,2001,Indians,Convicts,Female,16-18,0
Andhra Pradesh,2001,Indians,Convicts,Female,18-30,28
Andhra Pradesh,2001,Indians,Convicts,Female,30-50,50
Andhra Pradesh,2001,Indians,Convicts,Female,50+,24
Andhra Pradesh,2001,Indians,Convicts,Male,16-18,5
Andhra Pradesh,2001,Indians,Convicts,Male,18-30,1638
Andhra Pradesh,2001,Indians,Convicts,Male,30-50,2085
Andhra Pradesh,2001,Indians,Convicts,Male,50+,388
Andhra Pradesh,2001,Indians,Under Trials,Female,16-18,2
Andhra Pradesh,2001,Indians,Under Trials,Female,18-30,194
Andhra Pradesh,2001,Indians,Under Trials,Female,30-50,249
Andhra Pradesh,2001,Indians,Under Trials,Female,50+,37
Andhra Pradesh,2001,Indians,Under Trials,Male,16-18,138
Andhra Pradesh,2001,Indians,Under Trials,Male,18-30,4142
Andhra Pradesh,2001,Indians,Under Trials,Male,30-50,3580
Andhra Pradesh,2001,Indians,Under Trials,Male,50+,488
Andhra Pradesh,2002,Foreigners,Convicts,Female,16-18,0
Andhra Pradesh,2002,Foreigners,Convicts,Female,18-30,0
Andhra Pradesh,2002,Foreigners,Convicts,Female,30-50,0
Andhra Pradesh,2002,Foreigners,Convicts,Female,50+,0
Andhra Pradesh,2002,Foreigners,Convicts,Male,16-18,0
Andhra Pradesh,2002,Foreigners,Convicts,Male,18-30,4
Andhra Pradesh,2002,Foreigners,Convicts,Male,30-50,0
Andhra Pradesh,2002,Foreigners,Convicts,Male,50+,0
Andhra Pradesh,2002,Foreigners,Under Trials,Female,16-18,0
Andhra Pradesh,2002,Foreigners,Under Trials,Female,18-30,0
Andhra Pradesh,2002,Foreigners,Under Trials,Female,30-50,0
Andhra Pradesh,2002,Foreigners,Under Trials,Female,50+,0
Andhra Pradesh,2002,Foreigners,Under Trials,Male,16-18,0
Andhra Pradesh,2002,Foreigners,Under Trials,Male,18-30,0
Andhra Pradesh,2002,Foreigners,Under Trials,Male,30-50,2
Andhra Pradesh,2002,Foreigners,Under Trials,Male,50+,0
Andhra Pradesh,2002,Indians,Convicts,Female,16-18,0
Andhra Pradesh,2002,Indians,Convicts,Female,18-30,44
Andhra Pradesh,2002,Indians,Convicts,Female,30-50,71
